id,char_id,name,base_hp,stats_1,stats_2,stats_3,stats_4,stats_5,stats_6,background,race,class_starting,class_starting_level,subclass_starting,class_other,subclass_other,total_level,feats,inventory,date_modified,notes_len,gold
10,62,Griv Ungart,12,8,14,12,14,14,10,Clan Crafter,Dwarf,Rogue,1,,,,1,,"Crossbow","hand",2018-06-29T15:37:47Z,0,100.0
11,70,Alexander Stonecutter,18,14,15,12,13,8,10,Charlatan,Dwarf,Rogue,3,Thief,,,3,,"Rope of Climbing/Crossbow","Heavy","+1/Chain Shirt/Dagger/Dagger/Dagger/Dagger/Dagger/Rapier/Warhammer/Crossbow Bolts/Ink Pen/Parchment (one sheet)/Ball Bearings (bag of 1,000)/Backpack/Block and Tackle/Candle/Clothes","Traveler's/Flask or Tankard/Forgery Kit/Mirror","Steel/Oil (flask)/Playing Card Set/Sealing Wax/Torch/Potion of Healing",2021-07-23T20:49:44Z,0,202.1
12,104,Primalis Thule,12,10,14,10,11,14,17,Folk Hero,Aasimar,Bard,1,,,,1,,Leather/Dagger/Rapier/Entertainer's Pack ,2018-06-29T15:37:47Z,346,0.0
13,124,Tomeilicus 'Gramps' Mistletoes ,82,8,14,14,15,12,8,,Gnome,Wizard,20,School of Abjuration,,,20,,"Cape of the Mountebank/Cubic Gate/Figurine of Wondrous Power (Bronze Griffon)/Manual of Bodily Health/Portable Hole/Potion of Water Breathing/Robe of the Archmagi/Staff of Power/Tome of Clear Thought/Figurine of Wondrous Power (Obsidian Steed)/Potion of Healing (Superior)/Potion of Healing (Supreme)/Tome of the Stilled Tongue/Component Pouch/Backpack/Ink (1 ounce bottle)/Ink Pen/Parchment (one sheet)/Little Bag of Sand/Spellbook/Clothes","Common/Longsword/Greatsword/Cold Weather Gear",2021-12-17T05:02:12.353Z,636,8999.0
14,126,Nesalli Thethissi,100,8,14,13,12,10,15,Gladiator,Tiefling,Warlock,17,The Fiend,Sorcerer,Divine Soul,20,Resilient (Intelligence),"Broom of Flying/Cape of the Mountebank/Cubic Gate/Potion of Water Breathing/Robe of the Archmagi/Staff of the Magi/Tome of Clear Thought/Tome of Leadership and Influence/Manual of Iron Golems/Potion of Healing (Greater)/Potion of Healing (Superior)/Potion of Healing (Supreme)/Potion of Force Resistance/Rod of the Pact Keeper","+3/Daern's Instant Fortress/Potion of Psychic Resistance/Clothes","Fine/Pouch/Rope","Hempen (50 feet)/Thieves' Tools/Waterskin",2021-07-01T14:09:22Z,5568,2077.83
15,129,Naxos,12,15,13,14,12,8,10,,Goliath,Barbarian,1,,,,1,,Berserker Greataxe/Vicious Javelin,2018-06-29T21:26:30.53Z,0,0.0
16,135,Ostran Thorngage,48,10,8,15,10,15,13,Mercenary Veteran,Halfling,Cleric,9,Tempest Domain,,,9,Observant,Gauntlets of Ogre Power/Mace of Disruption/Winged Boots/Shield/Splint/Sling/Sling Bullets/Backpack/Amulet/Alms Box/Warhammer/Blanket/Rations (1 day)/Tinderbox/Waterskin/Playing Card Set/Candle/Block of Incense/Censer/Vestments,2022-10-18T05:40:12.567Z,904,1065.5
17,136,Hollis Moonbow,124,10,15,12,12,12,12,Folk Hero,Elf,Ranger,20,Hunter,,,20,,"Necklace of Prayer Beads/Ring of Invisibility/Arrows","+1/Longbow","+2/Bracers of the Assassin/Studded Leather of Shadow Aura/Dagger/Longsword/Longbow/Clothes","Common/Quiver/Explorer's Pack",2020-01-08T15:02:57.29Z,0,0.0
18,151,Birdbarian,12,12,13,11,14,11,13,Sage,Aarakocra,Barbarian,5,Path of the Berserker,,,5,,,2018-06-29T15:37:47Z,17,0.0
19,152,Zanark,33,8,8,8,8,8,8,Acolyte,Dragonborn,Rogue,6,Mastermind,,,6,,Wand of Winter,2021-08-07T19:36:44Z,0,0.0
20,169,Elduan Thann III,60,10,15,13,12,8,14,Waterdhavian Noble,Human,Rogue,3,Swashbuckler,Fighter,Battle Master,10,Dual Wielder,"Cape of the Mountebank/Robe of Eyes/Rapier","+2/Studded Leather/Dagger/Dagger/Shortbow/Rapier/Arrows/Backpack/Clothes","Fine/Potion of Healing/Pouch/Dagger/Dagger/Dagger/Dagger/Dagger/Dagger/Dagger/Dagger/Chalk (1 piece)/Hammer/Piton/Rope","Hempen (50 feet)/Signet Ring/Tinderbox/Waterskin/Thieves' Tools/String/Clothing","cold weather/Potion of Heroism/Spell Scroll (5th Level)/Potion of Invulnerability",2022-10-18T05:21:34.893Z,498,10000.0
21,185,Skidorion,22,14,13,10,15,12,8,Soldier,Half-Elf,Wizard,5,,,,5,,Staff of Charming/Sun Bow/Dagger,2022-11-03T04:02:47.55Z,0,0.0
22,186,Guardian,46,15,8,15,10,12,15,Soldier,Warforged Adaptable,Paladin,6,Oath of Devotion,,,6,,"Longsword","+1/Shield/Plate/Ascender/Winch/Sundial/Leacher's Emerald/Javelin/Crossbow","light/Halberd/Lance/Crossbow Bolts/Backpack/Chain (10 feet)/Grappling Hook/Ram","Portable/Smith's Tools",2020-05-04T01:15:11.46Z,0,52286.71
23,194,Farnsworth Farnsworth Farnsworth,41,10,14,15,10,13,17,,Halfling,Bard,9,College of Lore,,,9,,Studded Leather/Rapier,2018-06-29T15:37:47Z,16,0.0
24,197,Reginald Hawke,12,0,0,0,0,0,0,,Human,Fighter,7,,,,7,,,2018-06-29T15:37:47Z,0,0.0
25,206,Petie's Character,12,0,0,0,0,0,0,,Genasi,Barbarian,1,,,,1,,,2018-06-29T15:37:47Z,0,0.0
26,229,Sev Wolfheart,28,15,14,14,10,10,8,Soldier,Human,Fighter,4,Champion,,,4,Dual Wielder,"Potion of Water Breathing/Longsword","+1/Shield/Chain Mail/Splint/Handaxe/Handaxe/Spear/Battleaxe/Flask or Tankard/Dungeoneer's Pack/Dice Set",2018-06-29T15:37:47Z,784,484.0
27,230,Physty,13,8,14,12,10,13,15,Criminal / Spy,Elf,Rogue,2,,,,2,,"Leather/Dagger/Dagger/Shortbow/Rapier/Abacus/Clothes","Common/Crowbar/Burglar's Pack",2018-06-29T15:37:47Z,0,0.0
28,242,Ictoa The Oathebreaker ,9,11,15,15,14,15,17,,Human,Sorcerer,3,Draconic Bloodline,,,3,,"Dagger/Dagger/Crossbow","light/Crossbow Bolts/Component Pouch/Dungeoneer's Pack",2020-08-22T21:46:02Z,0,95.0
29,244,Bob,6,8,13,14,12,10,15,Sage,Human,Sorcerer,1,Draconic Bloodline,,,1,Grappler,"Dagger/Dagger/Crossbow","light/Crossbow Bolts/Explorer's Pack/Rod",2018-06-29T15:37:47Z,0,0.0
30,257,Lander,18,14,10,14,13,18,10,Sage,Human,Cleric,3,Knowledge Domain,,,3,War Caster,"Scale Mail/Shield/Mace/Crossbow","light/Crossbow Bolts/Backpack/Clothes","Common/Amulet/Ink (1 ounce bottle)/Bedroll/Mess Kit/Paper (one sheet)/Rations (1 day)/Rope","Hempen (50 feet)/Tinderbox/Torch/Waterskin",2022-06-07T22:02:43.38Z,914,109.0
31,260,Calyra,8,14,15,16,9,14,15,Criminal / Spy,Halfling,Rogue,1,,,,1,,"Leather/Dagger/Dagger/Shortbow/Rapier/Arrows/Backpack/Ball Bearings (bag of 1,000)/Bell/Candle/Clothes","Common/Crowbar/Hammer/String/Piton/Lantern","Hooded/Oil (flask)/Rations (1 day)/Tinderbox/Waterskin/Rope","Hempen (50 feet)/Thieves' Tools",2018-06-29T15:37:47Z,0,15.0
32,262,Canis Treya,12,0,0,0,0,0,0,,Human,Cleric,1,,,,1,,,2018-06-29T15:37:47Z,0,0.0
33,354,Noelani Marlowe,12,0,0,0,0,0,0,,Genasi,Druid,3,Circle of the Land (Forest),,,3,,,2018-06-29T15:37:47Z,0,0.0
34,2242,Toron Telsor,46,14,12,14,8,8,15,Noble,Human,Paladin,7,Oath of Devotion,,,7,Grappler,Oil of Etherealness/Ioun Stone of Strength/Double Edge/Mace of Tithing/Shield/Chain Mail/Splint/Longsword/Javelin,2018-06-29T15:37:47Z,1261,0.0
35,2243,Lucinious,28,11,16,13,17,13,15,Entertainer,Tiefling,Bard,5,College of Lore,,,5,Actor,"Spell Scroll (1st Level)/Dagger of Returning/Studded Leather/Dagger/Rapier/Clothes","Costume/Robes/Entertainer's Pack /Dice Set/Playing Card Set/Flute/Lute/Pan Flute",2021-07-02T06:54:00Z,3974,225.0
36,2435,Corrin Underfoot,8,17,16,14,14,15,18,Folk Hero,Halfling,Bard,1,,,,1,,Leather/Dagger/Rapier/Entertainer's Pack /Lute/Pan Flute,2020-07-16T16:25:53Z,1564,100.0
37,2444,Welf,12,13,8,14,12,10,15,Folk Hero,Goliath,Bard,1,,,,1,,,2018-06-29T15:37:47Z,0,0.0
38,2484,Cade Thorngage,12,8,15,13,12,14,10,Folk Hero,Halfling,Ranger,1,,,,1,,"Leather/Dagger/Crossbow","light/Shortsword/Explorer's Pack",2018-06-29T15:37:47Z,4,15.0
39,2485,Lil_kamini's Character,12,0,0,0,0,0,0,Sage,Human,Sorcerer,1,,,,1,,,2018-06-29T15:37:47Z,0,0.0
40,2510,Sai Amastacia,10,9,12,14,15,10,12,Sage,Elf,Wizard,2,School of Evocation,,,2,,"Longsword/Quarterstaff/Dart/Ink (1 ounce bottle)/Ink Pen/Clothes","Common/Clothes","Fine/Component Pouch/Spellbook/Scholar's Pack",2020-04-13T19:38:35.473Z,1252,130.0
41,2515,Sigurd,12,0,0,0,0,0,0,,Human,Fighter,3,Champion,,,3,,,2018-06-29T15:37:47Z,0,0.0
42,2555,CW3_Clare's Character,38,0,0,0,0,0,0,,Human,Rogue,7,,,,7,,,2019-02-23T18:21:15.487Z,0,0.0
43,2601,Varg,12,8,8,8,8,8,8,,Goliath,Ranger,1,,,,1,,,2018-06-29T15:37:47Z,0,0.0
44,2636,Saeranna Tallithe,12,0,0,0,0,0,0,,Genasi,Ranger,9,Hunter,,,9,,,2022-03-11T20:31:01.713Z,0,0.0
45,2640,Erin,8,13,8,14,10,15,12,Acolyte,Halfling,Cleric,1,Life Domain,,,1,,"Shield/Chain Mail/Mace/Crossbow","light/Crossbow Bolts/Priest's Pack/Reliquary",2018-06-29T15:37:47Z,0,0.0
46,2700,"Mort ""Eagle-Eye"" Serenz",12,8,8,8,8,8,8,,Human,Ranger,1,,,,1,,,2018-06-29T15:37:47Z,0,0.0
47,2705,Ravoskan,12,12,15,13,10,14,8,Folk Hero,Dragonborn,Cleric,5,Life Domain,,,5,,"Chain Mail","+1",2018-06-29T15:37:47Z,0,0.0
48,2778,Dokut Eciam,12,0,0,0,0,0,0,,Tiefling,Warlock,1,,,,1,,,2018-06-29T15:37:47Z,0,0.0
49,2779,Olutar,12,0,0,0,0,0,0,,Dwarf,Fighter,1,,,,1,,,2018-06-29T15:37:47Z,0,0.0
50,2782,Garulen Talespinner,12,13,10,12,11,12,15,,Dwarf,Bard,1,,,,1,,Leather/Handaxe/Lyre,2018-06-29T15:37:47Z,511,0.0
51,2806,Owe,18,10,13,14,10,15,10,Sage,Genasi,Druid,3,Circle of the Land (Coast),,,3,,"Shield/Chain Mail/Mace/Crossbow","light/Priest's Pack",2018-06-29T15:37:47Z,0,135.0
52,2808,Gimblejam Smallington 3rd,12,0,0,0,15,0,0,,Gnome,Wizard,15,School of Evocation,,,15,,,2018-06-29T15:37:47Z,0,0.0
53,2841,Randy Savage,12,0,0,0,0,0,0,,Dwarf,Paladin,1,,,,1,,,2018-06-29T15:37:47Z,0,0.0
54,2842,Kyros,12,7,12,12,14,15,15,Acolyte,Half-Elf,Cleric,4,Life Domain,,,4,,"Scale Mail/Shield/Spear/Backpack/Bedroll/Blanket/Clothes","Common/Component Pouch/Paper (one sheet)/Robes/Playing Card Set",2018-06-29T15:37:47Z,101,136.0
55,2873,Barb,12,15,13,14,10,12,8,Folk Hero,Gnome,Barbarian,1,,,,1,,Handaxe/Javelin/Greataxe/Explorer's Pack,2018-06-29T15:37:47Z,0,0.0
56,2894,Twyrcel,124,14,18,16,15,17,15,Folk Hero,Half-Elf,Ranger,17,Hunter,,,17,,"Studded Leather","+3/Vorpal Scimitar/Shortsword","+3/Leather/Shortsword/Shortsword/Longbow/Shovel/Explorer's Pack/Carpenter's Tools/Disguise Kit",2021-02-16T16:44:49Z,1274,0.0
57,2898,Qyburn Rhayns,72,14,15,13,8,10,12,Soldier,Human,Ranger,8,Beast Master,Rogue,Assassin,12,,"Arrow of Slaying/Cloak of Displacement/Elemental Gem (Blue Sapphire)/Gauntlets of Ogre Power/Goggles of Night/Dagger","+1/Longbow","+1/Studded Leather/Leather/Longsword/Handaxe/War Pick/Longbow/Arrows/Backpack/Crowbar/Hammer/Piton/Torch/Tinderbox/Rations (1 day)/Waterskin/Rope","Hempen (50 feet)/Playing Card Set/Clothes","Common/Grappling Hook/Pouch/Thieves' Tools/Potion of Healing/Disguise Kit/Ball Bearings (bag of 1,000)/Backpack",2022-08-06T00:59:16.633Z,2740,9264.11
58,2903,Mierah Dawnchaser,12,0,0,0,0,0,0,,Elf,Monk,11,,,,11,,,2018-06-29T15:37:47Z,0,0.0
59,2954,Greml Ironborn,12,15,14,15,8,10,8,Soldier,Dwarf,Barbarian,1,,Fighter,,3,,Shield/Handaxe/Handaxe/Warhammer,2018-06-29T15:37:47Z,6,87.0
60,2988,Kaal'Axiuus,18,18,18,17,11,16,19,Acolyte,Dragonborn,Monk,1,,,,1,,Quarterstaff,2018-06-29T15:37:47Z,0,7.6
61,3055,Niavara Nailo,8,15,17,12,10,14,14,Sage,Elf,Monk,1,,,,1,,"Dagger/Dart/Ink (1 ounce bottle)/Backpack/Bedroll/Clothes","Common/Mess Kit/Rations (1 day)/Rope","Hempen (50 feet)/Tinderbox/Torch/Waterskin/Small Knife",2022-06-20T01:24:18.017Z,394,95.6
62,3061,KingKebab's Character,12,0,0,0,0,0,0,,Half-Elf,Warlock,1,The Fiend,,,1,,,2018-06-29T15:37:47Z,0,0.0
63,3126,Thorbino's Character,12,8,8,8,8,8,8,,Human,Rogue,1,,,,1,Grappler,,2018-06-29T15:37:47Z,0,0.0
64,3138,Test,10,11,8,10,12,16,11,Folk Hero,Elf,Fighter,1,,,,1,,,2018-06-29T15:37:47Z,0,0.0
65,3279,Cricket Diggsberry,10,15,13,14,10,12,8,Soldier,Halfling,Fighter,3,,,,3,,Shield/Chain Mail/Longsword/Handaxe/Handaxe/Explorer's Pack,2018-08-02T01:21:21.683Z,0,0.0
66,3385,Julian Blackthorne,12,8,12,13,15,14,10,Sage,Human,Wizard,6,School of Evocation,,,6,,,2018-06-29T15:37:47Z,0,0.0
67,3386,Morgran Battlehammer,87,18,8,15,6,13,16,Noble,Dwarf,Paladin,13,Oath of Devotion,Warlock,The Celestial,14,Shield Master,"Dust of Disappearance/Eversmoking Bottle/Gem of Brightness/Potion of Healing/Ring of Evasion/Ring of Spell Storing/Potion of Healing (Superior)/Flame Longsword","+1/Mithral Plate of Flame/Animated Shield of Protection/The Battlehammer/Signet Ring/Bomb",2021-07-15T23:36:05Z,200,6420.3
68,3388,Switch of the Shadows,12,10,14,8,13,12,15,Folk Hero,Genasi,Rogue,1,,,,1,,"Leather/Dagger/Dagger/Shortbow/Shortsword/Arrows/Clothes","Common/Pot","Iron/Shovel/Tinker's Tools/Thieves' Tools",2022-09-21T00:45:35.88Z,4,10.0
69,3389,Kotojo D. Zujo,12,8,8,8,8,8,8,,Elf,Rogue,1,,,,1,,,2018-06-29T15:37:47Z,0,0.0
70,3392,Aloth,12,0,0,0,0,0,0,,Human,Wizard,1,,,,1,,,2018-06-29T15:37:47Z,0,0.0
71,3449,SternerStuff's Character,12,0,0,0,0,0,0,,Dwarf,Barbarian,6,,,,6,,,2018-06-29T15:37:47Z,0,0.0
72,3450,Ozkir,12,8,15,13,12,14,10,,Dwarf,Monk,3,Way of the Open Hand,,,3,,"Quarterstaff/Dart/Case","Map or Scroll/Clothes","Common/Dungeoneer's Pack",2018-06-29T15:37:47Z,0,85.0
73,3452,Dooby,8,8,13,14,12,10,15,Sage,Half-Elf,Warlock,1,The Fiend,,,1,,"Leather/Dagger/Dagger/Quarterstaff/Crossbow","light/Crossbow Bolts/Scholar's Pack/Rod",2018-06-29T15:37:47Z,0,0.0
74,3456,Lagimar,12,8,8,8,8,8,8,,Dragonborn,Sorcerer,1,Draconic Bloodline,,,1,,,2018-06-29T15:37:47Z,0,0.0
75,3459,Andy,12,10,15,13,10,10,14,,Half-Elf,Bard,1,,,,1,,Leather/Dagger/Rapier/Entertainer's Pack /Lute,2018-06-29T15:37:47Z,0,0.0
76,3462,Lagoon,15,8,10,6,12,15,15,Soldier,Genasi,Monk,1,,Sorcerer/Bard/Barbarian,Draconic Bloodline/College of Lore/Path of the Berserker,5,,,2018-06-29T15:37:47Z,0,0.0
77,3477,Morlar,104,7,11,13,12,12,11,Soldier,Aarakocra,Bard,13,College of Lore,,,13,,,2018-06-29T15:37:47Z,0,0.0
78,3523,Erindal Windsong,12,13,8,14,10,15,12,,Elf,Cleric,3,Life Domain,,,3,,,2018-06-29T15:37:47Z,0,0.0
79,3559,Jimmy Dungard,12,10,15,14,10,10,13,Criminal / Spy,Halfling,Fighter,1,,,,1,,"Chain Mail/Crossbow","light/Scimitar/Scimitar/Crossbow Bolts/Clothes","Common/Crowbar/Potion of Healing/Pouch/Dungeoneer's Pack/Clothing","cold weather",2020-09-19T01:37:06Z,520,0.0
80,3562,Test,120,13,12,10,3,11,13,Folk Hero,Tiefling,Sorcerer,20,Draconic Bloodline,,,20,Grappler/Svirfneblin Magic,,2018-06-29T15:37:47Z,0,0.0
81,3572,"Gwaeddan ""Gwen"" Sternhammer",12,0,0,0,0,0,0,,Dwarf,Paladin,1,,,,1,,,2018-06-29T15:37:47Z,0,0.0
82,3575,Walkas,6,12,15,13,10,14,8,Acolyte,Dwarf,Monk,1,,,,1,,Dart/Shortsword/Explorer's Pack,2018-06-29T15:37:47Z,0,0.0
83,3584,Draconismaximus's Character,24,18,18,18,18,18,18,Sage,Human,Wizard,4,,,,4,Svirfneblin Magic,,2018-06-29T15:37:47Z,0,0.0
84,3605,Tick Tary Tanner,82,10,14,8,15,12,13,,Gnome,Wizard,20,School of Illusion,,,20,Lucky/Resilient (Charisma)/Ritual Caster (Druid),"Amulet of Health/Bag of Holding/Potion of Animal Friendship/Potion of Hill Giant Strength/Robe of the Archmagi/Staff of Power/Tome of Clear Thought/Tome of Leadership and Influence/Tome of Understanding/Potion of Healing (Greater)/Potion of Healing (Superior)/Potion of Healing (Supreme)/Potion of Cold Resistance/Spell Scroll (2nd Level)/Spell Scroll (3rd Level)/Spell Scroll (4th Level)/Spell Scroll (5th Level)/Spell Scroll (7th Level)/Spell Scroll (8th Level)/Ink (1 ounce bottle)/Ink Pen/Potion of Poison Resistance/Potion of Invulnerability/Elixir of Health/Net/Abacus/Bedroll/Ball Bearings (bag of 1,000)/Mirror of the Past/Tome of the Stilled Tongue/Cloak of Many Fashions/Pistol/Dagger/Dagger/Pipe of Smoke Monsters/Book/Saddle of the Cavalier/Potion of Vitality/Soul Coin/Spellbook/Totem/Sealing Wax/Signet Ring/Magnifying Glass/Case","Map or Scroll/Paper (one sheet)/Cartographer's Tools/Oil (flask)/Scale","Merchant's/Fishing Tackle/Waterskin/Blanket/Mess Kit/Pot","Iron/Jug or Pitcher/Hunting Trap/Tent","Two-Person/Clothes","Traveler's/Dice Set/Dragonchess Set/Playing Card Set/Three-Dragon Ante Set/Spyglass/Grappling Hook/Rope","Silk (50 feet)/Manacles/Caltrops (bag of 20)/Whetstone/Healer's Kit/Crowbar/Shovel/Hammer","Sledge/Pick","Miner's/Ram","Portable/Bell/Candle/Chalk (1 piece)/Hourglass/Pouch/Sack/Antitoxin/Saddle","Exotic/Horn/Calligrapher's Supplies/Sack/Sack",2021-01-24T20:39:31Z,15732,203652.28
85,3679,Keakian,12,0,0,0,0,0,0,,Halfling,Rogue,1,,,,1,,,2018-06-29T15:37:47Z,0,0.0
86,3681,Rev,38,8,13,12,15,10,14,Sage,Human,Wizard,9,School of Evocation,,,9,,Quarterstaff/Spellbook/Scholar's Pack/Rod,2018-07-03T20:31:41.01Z,0,0.0
87,3697,Tarqen,12,10,18,10,12,14,15,Criminal / Spy,Tiefling,Rogue,1,,,,1,,,2018-06-29T15:37:47Z,0,0.0
88,3698,Bevina,28,11,13,11,13,12,18,Criminal / Spy,Dwarf,Druid,5,Circle of the Land (Mountain),,,5,Grappler,,2018-06-29T15:37:47Z,0,0.0
89,3702,Shade,18,16,16,15,13,14,13,Criminal / Spy,Tiefling,Rogue,3,Assassin,,,3,,"Dagger/Dagger/Shortbow/Rapier/Arrows/Case","Map or Scroll/Clothes","Common/Pouch/Quiver/Burglar's Pack/Thieves' Tools",2018-06-29T15:37:47Z,29,10.0
90,3707,Auberon,12,0,0,0,0,0,0,,Half-Elf,Paladin,1,,,,1,,,2018-06-29T15:37:47Z,0,0.0
91,3713,Mordecai,23,14,10,14,10,18,8,Acolyte,Human,Cleric,8,Life Domain,,,8,,Shield/Chain Mail/Dagger/Quarterstaff/Sling/Net/Priest's Pack,2019-10-11T02:13:17.02Z,0,0.0
92,3714,Qiwalyn,46,10,9,10,9,8,10,Soldier,Elf,Barbarian,18,Path of the Berserker,,,18,,,2018-06-29T15:37:47Z,0,0.0
93,3719,Nesmorn,142,9,12,9,6,9,12,Criminal / Spy,Dragonborn,Paladin,17,Oath of Devotion,Warlock/Ranger,The Fiend/Hunter,20,Grappler/Svirfneblin Magic,,2018-06-29T15:37:47Z,0,0.0
94,3742,Araralei,12,0,0,0,0,0,0,,Aarakocra,Monk,1,,,,1,,,2018-06-29T15:37:47Z,0,0.0
95,3757,Punt Speedchunk,12,0,0,0,0,0,0,,Dragonborn,Barbarian,1,,,,1,,,2018-06-29T15:37:47Z,0,0.0
96,3759,Adra,12,8,14,13,10,12,15,Noble,Aarakocra,Bard,1,,,,1,,,2018-06-29T15:37:47Z,0,0.0
97,3787,Siku Sangilak,12,8,14,10,14,10,15,Sage,Dragonborn,Bard,3,College of Lore,Rogue,Thief,6,,Studded Leather/Shortsword/Shortsword/Explorer's Pack/Lute,2018-06-29T15:37:47Z,0,15.0
98,3835,Regenault von Carringworth,12,0,0,0,0,0,0,,Human,Sorcerer,1,,,,1,,,2018-06-29T15:37:47Z,0,0.0
99,3853,Shirali,20,12,16,10,12,14,7,Criminal / Spy,Dragonborn,Monk,3,Way of the Open Hand,,,3,,Dagger/Dart/Robes/Explorer's Pack/Thieves' Tools,2018-06-29T15:37:47Z,0,16.0
100,3878,Noremin,12,12,16,11,12,8,9,,Human,Rogue,1,,,,1,Grappler,,2018-06-29T15:37:47Z,0,0.0
101,3903,BussyBop,12,8,13,12,10,14,15,Noble,Dragonborn,Sorcerer,1,Draconic Bloodline,,,1,,Dagger/Dagger/Quarterstaff/Crystal,2018-06-29T15:37:47Z,0,25.0
102,3909,Snowlio's Character,12,0,0,0,0,0,0,,Halfling,Sorcerer,1,,,,1,,,2018-06-29T15:37:47Z,0,0.0
103,3961,Overron Quartz,10,11,10,13,15,12,12,Folk Hero,Half-Elf,Ranger,1,,,,1,,"Adamantine Scale Mail/Longbow","+1/Shortsword","+1/Shortsword","+1/Quiver/Dungeoneer's Pack",2022-06-23T21:36:38.883Z,434,0.0
104,3965,Flamelogan Random,80,11,12,14,11,13,10,Criminal / Spy,Human,Fighter,11,Champion,,,11,Grappler/Svirfneblin Magic,,2018-06-29T15:37:47Z,0,0.0
105,4002,Peren Tide,12,0,0,0,0,0,0,,Genasi,Druid,1,,,,1,,,2018-06-29T15:37:47Z,0,0.0
106,4003,Jarnaar,12,15,13,14,10,12,8,Folk Hero,Dragonborn,Barbarian,1,,,,1,,Handaxe/Javelin/Greataxe/Explorer's Pack,2018-06-29T15:37:47Z,0,0.0
107,4008,Rhociar,8,13,8,14,10,15,12,Acolyte,Dragonborn,Cleric,1,Life Domain,,,1,,"Shield/Chain Mail/Mace/Crossbow","light/Crossbow Bolts/Priest's Pack/Reliquary",2018-06-29T15:37:47Z,0,0.0
